,0
727,32.42056
728,29.811089
729,37.636734
730,42.583385
731,44.324043
732,48.758625
733,44.755463
734,37.788006
735,37.458828
736,36.277008
737,33.018974
738,32.609383
739,32.419113
740,32.42065
741,29.884556
742,41.721935
743,47.502186
744,44.279266
745,48.6652
746,48.988132
747,37.375546
748,37.70604
749,36.4097
750,32.816135
751,32.41955
752,32.419113
753,32.418766
754,29.884556
755,29.995956
756,46.137184
757,51.89727
758,48.10682
759,48.912403
760,49.10717
761,41.611076
762,37.156113
763,36.302143
764,31.488462
765,32.418163
766,32.417725
767,32.417725
768,33.489765
769,30.717041
770,33.647724
771,46.24521
772,52.040077
773,48.12911
774,47.63223
775,48.67
776,47.080097
777,48.78488
778,36.02171
779,32.337822
780,33.181313
781,33.241417
782,33.241417
783,33.49189
784,30.80765
785,34.004612
786,54.93008
787,45.867928
788,51.609318
789,47.712967
790,47.426754
791,54.14299
792,47.763695
793,52.00441
794,39.42468
795,31.946411
796,33.273476
797,33.273014
798,33.273014
799,33.583355
800,65.47427
801,65.10922
802,54.15369
803,45.450848
804,32.63534
805,38.720554
806,43.04088
807,34.830326
808,38.36549
809,42.647995
810,34.57399
811,34.792507
812,42.522892
813,42.617977
814,34.50242
815,34.50242
816,38.26356
817,42.60069
818,42.06701
819,34.50242
820,34.481667
821,34.725727
822,38.162827
823,43.483498
824,44.405804
825,33.781902
826,34.46939
827,34.371883
828,39.144257
829,39.1437
830,41.039875
831,40.69949
832,33.829918
833,33.689735
834,34.371883
835,35.052383
836,40.482704
837,40.8484
838,41.08054
839,40.48158
840,31.873884
841,31.768797
842,34.1139
843,40.832634
844,41.26905
845,40.84313
846,41.081097
847,38.357746
848,37.72476
849,36.2914
850,33.818054
851,33.81704
852,36.412918
853,37.003674
854,41.060455
855,38.090446
856,38.32503
857,37.90852
858,36.47146
859,36.208824
860,38.33311
861,34.141098
862,35.807877
863,36.31491
864,41.05967
865,38.09291
866,38.323875
867,30.809559
868,33.61902
869,32.585995
870,36.210934
871,38.24975
872,44.112576
873,36.004974
874,35.97906
875,33.20913
876,38.05626
877,39.77715
878,30.896858
879,26.524286
880,32.99499
881,32.395725
882,37.375263
883,44.022514
884,39.938427
885,40.230442
886,35.979588
887,33.255585
888,37.792625
889,31.419699
890,28.150553
891,30.88718
892,32.995083
893,32.396812
894,32.42065
895,37.352528
896,43.13278
897,40.222492
898,40.11991
899,44.29436
900,32.91001
901,37.99663
902,31.252989
903,26.681936
904,30.697004
905,32.993694
906,32.395424
907,32.419262
908,32.42071
909,37.594246
910,39.371975
911,39.280582
912,44.210014
913,37.053787
914,41.17879
915,39.209885
916,31.251598
917,26.6457
918,30.695963
919,33.817387
920,33.219116
921,33.244404
922,33.252777
923,22.85189
924,41.68435
925,43.44746
926,43.370686
927,43.3422
928,42.484467
929,42.806797
930,43.734306
931,31.15231
932,30.822279
933,31.459143
934,33.817387
935,33.311256
936,33.336544
937,65.22745
938,64.57207
939,51.222973
940,45.837807
941,47.820786
942,47.788506
943,51.31315
944,46.03678
945,46.00584
946,47.126972
947,31.68365
948,33.53259
949,33.84809
950,33.848984
951,65.19378
952,64.91531
953,64.30732
954,64.812096
955,35.329174
956,42.52013
957,49.61609
958,52.25568
959,51.324635
960,51.31315
961,44.75364
962,45.5897
963,47.03093
964,38.398037
965,33.1576
966,32.55537
967,65.13188
968,64.21311
969,64.24678
970,64.54735
971,65.58104
972,38.1133
973,45.518055
974,44.832607
975,22.472929
976,39.11765
977,44.328777
978,34.787952
979,35.04429
980,42.957806
981,34.99056
982,34.95274
983,38.710487
984,42.900703
985,34.918987
986,34.918987
987,34.91164
988,38.5547
989,42.77696
990,34.796227
991,34.76587
992,34.7632
993,34.92462
994,42.655563
995,43.777306
996,34.747665
997,34.7632
998,34.66569
999,34.66569
1000,39.437508
1001,44.971176
1002,41.48435
1003,34.067696
1004,33.962177
1005,34.66569
1006,35.089855
1007,36.428303
1008,37.12049
1009,41.25914
1010,41.49711
1011,32.06186
1012,34.012863
1013,34.38634
1014,35.089855
1015,37.132538
1016,32.85567
1017,32.94334
1018,39.205082
1019,39.480618
1020,36.59076
1021,34.10357
1022,34.090927
1023,36.437035
1024,37.116055
1025,37.128815
1026,30.21917
1027,34.115654
1028,38.96762
1029,40.891785
1030,36.212532
1031,38.631683
1032,39.883034
1033,36.08833
1034,36.352383
1035,37.12803
1036,30.222422
1037,34.277992
1038,31.700779
1039,32.055695
1040,27.626814
1041,38.248936
1042,38.24975
1043,40.37153
1044,36.047997
1045,36.006275
1046,29.27752
1047,30.185776
1048,35.731266
1049,31.293112
1050,27.344889
1051,31.127512
1052,30.943697
1053,37.375263
1054,44.022514
1055,40.089092
1056,40.267635
1057,36.012882
1058,29.148289
1059,29.582624
1060,27.081827
1061,28.424047
1062,31.610722
1063,31.600826
1064,30.821495
1065,33.24242
1066,43.13278
1067,39.071144
1068,39.89206
1069,39.872578
1070,32.786472
1071,28.85599
1072,29.572369
1073,26.494003
1074,22.758816
1075,31.419504
1076,31.598974
1077,31.00292
1078,33.119038
1079,32.64421
1080,43.11816
1081,39.19598
1082,39.016647
1083,39.861805
1084,32.784702
1085,32.21939
1086,30.224577
1087,26.492962
1088,30.550428
1089,32.11061
1090,32.29806
1091,31.826624
1092,31.645256
1093,26.07028
1094,64.43935
1095,45.70826
1096,39.20542
1097,39.016647
1098,39.250328
1099,33.77986
1100,33.83171
1101,39.300545
1102,24.052725
1103,32.105904
1104,32.14175
1105,32.38885
1106,63.676662
1107,62.23246
1108,64.91486
1109,64.821365
1110,54.010906
1111,42.221943
1112,41.849598
1113,42.830032
1114,42.830032
1115,41.4519
1116,41.416435
1117,38.829937
1118,32.044025
1119,31.479092
1120,32.174862
1121,64.02424
1122,62.38072
1123,62.620567
1124,65.33608
1125,64.821365
1126,37.75433
1127,45.08942
1128,50.05753
1129,45.98838
1130,47.89348
1131,40.583824
1132,40.5883
1133,46.032417
1134,39.429802
1135,31.70775
1136,31.487293
1137,62.94363
1138,62.165375
1139,62.59178
1140,65.2432
1141,65.41964
1142,65.61168
1143,37.775707
1144,44.953754
1145,53.111565
1146,55.32298
1147,51.885246
1148,51.665028
1149,45.761787
1150,45.16678
1151,46.30026
1152,39.429802
1153,31.291607
1154,66.65386
1155,61.472584
1156,61.886673
1157,65.12193
1158,65.27419
1159,64.7822
1160,53.909527
1161,45.79004
1162,46.600864
1163,53.185486
1164,53.33778
1165,35.50985
1166,43.901077
1167,34.917923
1168,35.154785
1169,38.68995
1170,34.88417
1171,34.88417
1172,35.102688
1173,38.618378
1174,34.84635
1175,34.84635
1176,34.839005
1177,35.07267
1178,43.49867
1179,34.82785
1180,34.83481
1181,34.813324
1182,34.813324
1183,38.50676
1184,44.381477
1185,34.80239
1186,34.79902
1187,34.71841
1188,34.715816
1189,35.139423
1190,39.48658
1191,41.899776
1192,34.12242
1193,34.702213
1194,34.70151
1195,35.13998
1196,35.138927
1197,32.91406
1198,36.91454
1199,36.879448
1200,32.06875
1201,34.028908
1202,35.125324
1203,35.124622
1204,40.8781
1205,32.76445
1206,32.541565
1207,32.787575
1208,34.156654
1209,36.598793
1210,34.108715
1211,34.448025
1212,36.401176
1213,37.191956
1214,37.002083
1215,32.53101
1216,29.808262
1217,30.151154
1218,40.590485
1219,38.553406
1220,38.637974
1221,39.86141
1222,36.514572
1223,36.31118
1224,36.968285
1225,29.808262
1226,29.895758
1227,31.605368
1228,27.06424
1229,29.006207
1230,38.54335
1231,44.332832
1232,40.477318
1233,35.958347
1234,36.281853
1235,29.11666
1236,29.884165
